2016-06-06 17:47:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >eb25177765b7dc889b07e867fa3f4dfa77daa85e 
2016-06-06 17:47:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >N1n/OSRxv19CYCV8sCTkLSMDd4QoWtd74EPbaLDrSE+eCvRN01V3IThJ36IPAEi6iGQTnVyFaRw0mJnNJ6rHt+tE3yCexahUy2cpbgthU8o4nzZjeenJepEdEzpZ6pWFL3ZJoRtWJCBpcsANPQRz+Ez2Au/tYBpm+NbfUfLOzcI= 
2016-06-06 17:47:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-06-06 17:52:45, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
2016-06-06 17:52:45, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[71]------ 验证签名证书目录 :>ThinkPHP/Library/Org/Pay/UnionPay/certs/ 
2016-06-06 17:52:45, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[81]------ 加载验签证书成功 
2016-06-06 17:52:45, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[50]------ 报文去[signature] key=val&串>accNo=6216***********0018&accessType=0&bizType=000201&certId=68759585097&currencyCode=156&encoding=utf-8&merId=777290058127246&orderId=E1465206440&queryId=201606061747205744168&respCode=00&respMsg=Success!&settleAmt=173400&settleCurrencyCode=156&settleDate=0606&signMethod=01&traceNo=574416&traceTime=0606174720&txnAmt=173400&txnSubType=01&txnTime=20160606174720&txnType=01&version=5.0.0 
2016-06-06 17:52:45, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[54]------ 摘要shax16>cf14718edbc725e5dd253be2fca9a3a03f339349 
2016-06-06 17:52:45, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[56]------ 验签成功 
2016-06-06 17:52:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
