2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://wmk223.imwork.net/home/PayBackBack/UnionPayBack&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://wmk223.imwork.net/home/PayBackFront/UnionPayBack&merId=777290058127246&orderId=20160315162610458&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160315163625&txnType=01&version=5.0.0 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >e91ad341349357291ed15fb8b61e722d18712602 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >IDZRB2g//A10v1gBFcExZt4tME7AUgsUrl3BiPf1AN1sX7f2/WJL80xaP2VbN37heq1zbuWQDcRANgH8PKhmcjjK14zLPCF0qysahBYJ3IaZt2uevXvhiwV+z3bGxHfOerYFWClpDTu48u5inFncQYH1e/+KpkAmzUfLKWt4+Sw= 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[55]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[59]------ -------前台交易自动提交表单>--begin---- 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[61]------ -------前台交易自动提交表单>--end------- 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[62]------ ============处理前台请求 结束=========== 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[25]------ ============处理前台请求开始=============== 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[49]------ 前台请求地址为>40220995861346480087409489142384722381 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://wmk223.imwork.net/home/PayBackBack/UnionPayBack&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://wmk223.imwork.net/home/PayBackFront/UnionPayBack&merId=777290058127246&orderId=20160315162610458&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160315163815&txnType=01&version=5.0.0 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >10160bcfba2202661fe705bc10ea602c87e0d4a1 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >Z2mE5/smASrfgmJe1OKZsnfC+0BAd6mIrdalssafOXwA1nopFWU3EY2RyyFl++W1pvQj8N3NFxGnMxez7gm2iAq05Kn1op3EPTMELp27Px4O0UsvMWMnjJ/Ha0Mjd3ngVw8yTr+GZeSsxg1tV5iiMSaQ2LhLbzbRSapHfCJyXxk= 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[55]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[59]------ -------前台交易自动提交表单>--begin---- 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[61]------ -------前台交易自动提交表单>--end------- 
2016-03-15 16:38:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[62]------ ============处理前台请求 结束=========== 
