2016-06-03 16:01:05, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[63]------ ============处理前台请求 结束=========== 
2016-06-03 16:02:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
2016-06-03 16:02:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[71]------ 验证签名证书目录 :>ThinkPHP/Library/Org/Pay/UnionPay/certs/ 
2016-06-03 16:02:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[81]------ 加载验签证书成功 
2016-06-03 16:02:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[50]------ 报文去[signature] key=val&串>accNo=6216***********0018&accessType=0&bizType=000201&certId=68759585097&currencyCode=156&encoding=utf-8&merId=777290058127246&orderId=E1464940864&queryId=201606031601043254898&respCode=00&respMsg=success&settleAmt=1&settleCurrencyCode=156&settleDate=0603&signMethod=01&traceNo=325489&traceTime=0603160104&txnAmt=1&txnSubType=01&txnTime=20160603160104&txnType=01&version=5.0.0 
2016-06-03 16:02:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[54]------ 摘要shax16>ed23e0ced4d7422d0161e765903e6e2889aafc81 
2016-06-03 16:02:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[56]------ 验签成功 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[25]------ ============处理前台请求开始=============== 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[26]------ 1 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[50]------ 前台请求地址为>40220995861346480087409489142384722381 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayBack&merId=777290058127246&orderId=E1464941159&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160603160559&txnType=01&version=5.0.0 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >d7d371a8b0874a27ac46df0984ca8ddd97757ca7 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >ObJog4gfNr46Q2QEUrtJBRlyiebZZ9papgGKFB/dANOkLo8RtfR8jnFmBqvMdigGlkz9LM7DZsqW+7eGpia8aUVtlugEibbgkZgy3TBMSErUSQtXIL1JNQOnN/CAN7sSmwvf1N9FoPiReyYCSi9g1OLn/OynlyscBcsJVN9kWsc= 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[56]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[60]------ -------前台交易自动提交表单>--begin---- 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[62]------ -------前台交易自动提交表单>--end------- 
2016-06-03 16:05:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[63]------ ============处理前台请求 结束=========== 
2016-06-03 16:07:01, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
2016-06-03 16:07:01, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[71]------ 验证签名证书目录 :>ThinkPHP/Library/Org/Pay/UnionPay/certs/ 
